déjà	ADV	déjà
on	PRO:cls	on
p-	TRC	p-
on	PRO:cls	on
pourrait	VER:cond	pouvoir
se	PRO:clo	se
dire	VER:infi	dire
euh	INT	euh
à	PRP	à
chacun	PRO:ind	chacun
euh	INT	euh
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
entend	VER:pres	entendre
par	PRP	par
tel	DET:dem	tel
mot	NOM	mot
en	PRO:clo	en
fait	VER:pres	faire
hum	FNO	hum
je	PRO:cls	je
propose	VER:pres	proposer
qu'	KON	que
on	PRO:cls	on
fasse	VER:subp	faire
dans	PRP	dans
l'	DET:def	le
ordre	NOM	ordre
de	PRP	de
tout	PRO:ind	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
euh	INT	euh
chaque	DET:ind	chaque
mot	NOM	mot
là	ADV	là
hum	FNO	hum
les	DET:def	le
tiens	INT	tiens
au	PRP:det	au
moins	ADV	moins
les	DET:def	le
tiens	INT	tiens
au	PRP:det	au
moins	ADV	moins
les	DET:def	le
tiens	INT	tiens
euh	INT	euh
ce	PRO:dem	ce
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
entends	VER:pres	entendre
par	PRP	par
là	ADV	là
euh	INT	euh
bah	INT	bah
soutien	NOM	soutien
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
aider	VER:infi	aider
la	DET:def	le
personne	NOM	personne
quand	KON	quand
elle	PRO:cls	elle
en	PRO:clo	en
a	VER:pres	avoir
besoin	NOM	besoin
quand	KON	quand
elle	PRO:cls	elle
a	VER:pres	avoir
des	DET:ind	un
difficultés	NOM	difficulté
hum	FNO	hum
euh	INT	euh
partage	NOM	partage
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
bah	INT	bah
partager	VER:infi	partager
des	DET:ind	un
moments	NOM	moment
euh	INT	euh
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
de	PRP	de
la	DET:def	le
joie	NOM	joie
euh	INT	euh
de	PRP	de
la	DET:def	le
tristesse	NOM	tristesse
n'	ADV	ne
importe	VER:pres	importer
et	KON	et
communication	NOM	communication
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
savoir	VER:infi	savoir
euh	INT	euh
savoir	VER:infi	savoir
exprimer	VER:infi	exprimer
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
a	VER:pres	avoir
sur	PRP	sur
le	DET:def	le
coeur	NOM	coeur
ou	KON	ou
nos	DET:pos	notre
difficultés	NOM	difficulté
ou	KON	ou
voilà	FNO	voilà
.	NAM	<unknown>
.	NAM	<unknown>
euh	INT	euh
soutien	NOM	soutien
ben	INT	ben
je	PRO:cls	je
partais	VER:impf	partir
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
l'	DET:def	le
aide	NOM	aide
aux	PRP:det	au
devoirs	NOM	devoir
euh	INT	euh
si	KON	si
quelqu'un	PRO:ind	quelqu'un
a	VER:pres	avoir
des	DET:ind	un
difficultés	NOM	difficulté
découverte	VER:pper	découvrir
parce	TRC	parce
que	KON	que
je	PRO:cls	je
partais	VER:impf	partir
dans	PRP	dans
l'	DET:def	le
optique	NOM	optique
euh	INT	euh
si	KON	si
on	PRO:cls	on
est	VER:pres	être
avec	PRP	avec
un	DET:ind	un
enfant	NOM	enfant
qui	PRO:rel	qui
a	VER:pres	avoir
une	DET:ind	un
culture	NOM	culture
différente	ADJ	différent
et	KON	et
ben	INT	ben
il	PRO:cls	il
va	VER:pres	aller
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
lui	PRO:clo	lui
apporter	VER:infi	apporter
ma	DET:pos	mon
culture	NOM	culture
il	PRO:cls	il
va	VER:pres	aller
m'	PRO:clo	me
apporter	VER:infi	apporter
sa	DET:pos	son
culture	NOM	culture
et	KON	et
ça	PRO:cls	ça
rejoignait	VER:impf	rejoindre
euh	INT	euh
l'	DET:def	le
idée	NOM	idée
d'	PRP	un
échange	NOM	échange
en	PRO:clo	en
fait	VER:pres	faire
voilà	FNO	voilà
on	PRO:cls	on
va	VER:pres	aller
échanger	VER:infi	échanger
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
au	PRP:det	au
niveau	NOM	niveau
culturel	ADJ	culturel
ou	KON	ou
des	DET:ind	un
savoirs	NOM	savoir
euh	INT	euh
alors	ADV	alors
euh	INT	euh
l'	DET:def	le
aide	NOM	aide
parce	TRC	parce
que	KON	que
euh	INT	euh
parce	TRC	parce
que	KON	que
dans	PRP	dans
l'	DET:def	le
accompagnement	NOM	accompagnement
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
on	PRO:cls	on
est	VER:pres	être
là	ADV	là
pour	PRP	pour
ça	PRO:ton	ça
éventuellement	ADV	éventuellement
si	KON	si
euh	INT	euh
parce	TRC	parce
que	KON	que
je	PRO:cls	je
je	PRO:cls	je
pense	VER:pres	penser
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
les	DET:def	le
parents	NOM	parent
qui	PRO:rel	qui
demandent	VER:pres	demander
euh	INT	euh
l'	DET:def	le
aide	NOM	aide
à	PRP	à
¤Asso¤	NAM	<unknown>
je	PRO:cls	je
suis	VER:pres	être
pas	ADV	pas
sûre	ADJ	sûr
de	PRP	de
ça	PRO:ton	ça
je	PRO:cls	je
crois	VER:pres	croire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
enseignants	NOM	enseignant
qui	PRO:rel	qui
désignent	VER:pres	désigner
euh	INT	euh
les	DET:def	le
enfants	NOM	enfant
à	PRP	à
risques	NOM	risque
entre	PRP	entre
guillemets	NOM	guillemet
ou	KON	ou
qui	PRO:rel	qui
risquent	VER:pres	risquer
d'	PRP	un
avoir	VER:infi	avoir
des	DET:ind	un
problèmes	NOM	problème
et	KON	et
euh	INT	euh
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
s'	KON	si
ils	PRO:cls	il
ont	VER:pres	avoir
un	DET:ind	un
problème	NOM	problème
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
est	VER:pres	être
là	ADV	là
pour	PRP	pour
les	PRO:clo	le
aider	VER:infi	aider
pour	PRP	pour
euh	INT	euh
les	PRO:clo	le
entourer	VER:infi	entourer
hum	FNO	hum
hum	FNO	hum
euh	INT	euh
la	DET:def	le
confiance	NOM	confiance
parce	TRC	parce
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
lien	NOM	lien
forcément	ADV	forcément
entre	PRP	entre
l'	DET:def	le
enfant	NOM	enfant
et	KON	et
nous	PRO:ton	nous
et	KON	et
euh	INT	euh
s'	KON	si
il	PRO:cls	il
on	PRO:cls	on
veut	VER:pres	vouloir
que	KON	que
l'	DET:def	le
enfant	NOM	enfant
se	PRO:clo	se
sente	VER:subp	sentir
bien	ADV	bien
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
euh	INT	euh
qu'	KON	que
il	PRO:clsi	il
ait	VER:subp	avoir
confiance	NOM	confiance
en	PRP	en
nous	PRO:ton	nous
il	PRO:cls	il
faut	VER:pres	falloir
adhérer	VER:infi	adhérer
à	PRP	à
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
l'	DET:def	le
évolution	NOM	évolution
euh	INT	euh
hum	FNO	hum
parce	TRC	parce
que	KON	que
comme	KON	comme
on	PRO:cls	on
les	PRO:clo	le
suit	VER:pres	suivre
quand	KON	quand
même	ADV	même
sur	PRP	sur
presque	ADV	presque
un	DET:ind	un
an	NOM	an
toute	DET:pre	tout
leur	DET:pos	leur
scolarité	NOM	scolarité
enfin	ADV	enfin
pendant	PRP	pendant
un	DET:ind	un
an	NOM	an
euh	INT	euh
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
il	PRO:clsi	il
va	VER:pres	aller
y	PRO:clo	y
avoir	VER:infi	avoir
une	DET:ind	un
évolution	NOM	évolution
ça	PRO:cls	ça
dépend	VER:pres	dépendre
après	ADV	après
l'	DET:def	le
évolution	NOM	évolution
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
deux	NUM	@card@
sens	NOM	sens
c'	PRO:cls	ce
est	VER:pres	être
soit	KON	soit
positif	ADJ	positif
soit	KON	soit
négatif	ADJ	négatif
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
nous	PRO:ton	nous
de	PRP	de
faire	VER:infi	faire
en	PRP	en
sorte	NOM	sorte
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
positif	ADJ	positif
pour	PRP	pour
les	DET:def	le
deux	NUM	@card@
tu	PRO:cls	tu
rajoutes	VER:pres	rajouter
un	DET:ind	un
petit	ADJ	petit
plus	ADV	plus
pour	PRP	pour
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
positif	ADJ	positif
j'	PRO:cls	je
expliquerai	VER:futu	expliquer
j'	PRO:cls	je
expliquerai	VER:futu	expliquer
et	KON	et
ben	INT	ben
aider	VER:infi	aider
ça	PRO:cls	ça
revient	VER:pres	revenir
à	PRP	à
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
as	AUX:pres	avoir
dit	VER:pper	dire
parce	TRC	parce
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
on	PRO:cls	on
est	VER:pres	être
là	ADV	là
pour	PRP	pour
aider	VER:infi	aider
la	DET:def	le
personne	NOM	personne
enfin	ADV	enfin
l'	DET:def	le
enfant	NOM	enfant
avec	PRP	avec
qui	PRO:rel	qui
on	PRO:cls	on
sera	VER:futu	être
partager	VER:infi	partager
bah	INT	bah
parce	TRC	parce
que	KON	que
pendant	PRP	pendant
tout	DET:pre	tout
le	DET:def	le
moment	NOM	moment
où	PRO:rel	où
on	PRO:cls	on
va	VER:pres	aller
être	VER:infi	être
avec	PRP	avec
on	PRO:cls	on
va	VER:pres	aller
on	PRO:cls	on
va	VER:pres	aller
partager	VER:infi	partager
des	DET:ind	un
moments	NOM	moment
avec	PRP	avec
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
pour	PRP	pour
ses	DET:pos	son
devoirs	NOM	devoir
ou	KON	ou
dans	PRP	dans
des	DET:ind	un
sorties	NOM	sortie
des	PRP:det	du
choses	NOM	chose
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
solidarité	NOM	solidarité
très	ADV	très
bonne	ADJ	bon
question	NOM	question
solidarité	NOM	solidarité
parce	TRC	parce
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
on	PRO:cls	on
doit	VER:pres	devoir
faire	VER:infi	faire
euh	INT	euh
comment	PRO:int	comment
dire	VER:infi	dire
euh	INT	euh
une	DET:ind	un
part	NOM	part
du	PRP:det	du
chemin	NOM	chemin
euh	INT	euh
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
de	PRP	de
notre	DET:pos	notre
euh	INT	euh
de	PRP	de
notre	DET:pos	notre
côté	NOM	côté
ou	KON	ou
du	PRP:det	du
côté	NOM	côté
de	PRP	de
l'	DET:def	le
enfant	NOM	enfant
on	PRO:cls	on
doit	VER:pres	devoir
essayer	VER:infi	essayer
tous	DET:pre	tout
les	DET:def	le
deux	NUM	@card@
de	PRP	de
de	PRP	de
ben	INT	ben
de	PRP	de
faire	VER:infi	faire
sa	DET:pos	son
part	NOM	part
pour	PRP	pour
euh	INT	euh
que	KON	que
ça	PRO:cls	ça
puisse	VER:subp	pouvoir
marcher	VER:infi	marcher
et	KON	et
ça	PRO:cls	ça
doit	VER:pres	devoir
créer	VER:infi	créer
euh	INT	euh
un	DET:ind	un
lien	NOM	lien
je	PRO:cls	je
pense	VER:pres	penser
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
voilà	FNO	voilà
voilà	FNO	voilà
alors	ADV	alors
moi	PRO:ton	moi
aide	NOM	aide
bah	INT	bah
aide	NOM	aide
euh	INT	euh
comme	KON	comme
euh	INT	euh
vous	PRO:cls	vous
l'	PRO:clo	le
avez	AUX:pres	avoir
tous	PRO:ind	tout
dis-	VER:pper	<unknown>
dit	VER:pper	dire
euh	INT	euh
plus	ADV	plus
dans	PRP	dans
les	DET:def	le
devoirs	NOM	devoir
dans	PRP	dans
tous	DET:pre	tout
les	DET:def	le
domaines	NOM	domaine
ils	PRO:cls	il
ont	VER:pres	avoir
ils	PRO:cls	il
ont	VER:pres	avoir
besoin	NOM	besoin
d'	PRP	un
aide	NOM	aide
écoute	VER:impe	écouter
parce	TRC	parce
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
primordial	ADJ	primordial
dans	PRP	dans
l'	DET:def	le
accompagnement	NOM	accompagnement
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
des	DET:ind	un
deux	NUM	@card@
côtés	NOM	côté
que	KON	que
ils	PRO:cls	il
sachent	VER:subp	savoir
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
là	ADV	là
pour	PRP	pour
les	PRO:clo	le
écouter	VER:infi	écouter
et	KON	et
soutien	NOM	soutien
euh	INT	euh
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
là	ADV	là
pour	PRP	pour
eux	PRO:ton	eux
enfin	ADV	enfin
pour	PRP	pour
les	PRO:clo	le
soutenir	VER:infi	soutenir
dans	PRP	dans
quoi	INT	quoi
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
euh	INT	euh
donc	ADV	donc
voilà	FNO	voilà
alors	ADV	alors
euh	INT	euh
pour	PRP	pour
moi	PRO:ton	moi
j'	PRO:cls	je
entends	VER:pres	entendre
par	PRP	par
accompagnement	NOM	accompagnement
coacher	NOM	<unknown>
le	DET:def	le
la	DET:def	le
personne	NOM	personne
sûrement	ADV	sûrement
peut-être	ADV	peut-être
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
aptitudes	NOM	aptitude
qu'	KON	que
il	PRO:cls	il
développe	VER:pres	développer
et	KON	et
s'	KON	si
il	PRO:cls	il
arrive	VER:pres	arriver
à	PRP	à
canaliser	VER:infi	canaliser
cela	PRO:ton	cela
il	PRO:cls	il
peut	VER:pres	pouvoir
ça	PRO:cls	ça
peut	VER:pres	pouvoir
être	VER:infi	être
off-	TRC	<unknown>
ça	PRO:cls	ça
peut	VER:pres	pouvoir
lui	PRO:clo	lui
permettre	VER:infi	permettre
de	PRP	de
réussir	VER:infi	réussir
dans	PRP	dans
la	DET:def	le
vie	NOM	vie
et	KON	et
le	PRO:clo	le
suivre	VER:infi	suivre
aussi	ADV	aussi
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
dans	PRP	dans
le	DET:def	le
même	ADJ	même
cadre	NOM	cadre
parce	TRC	parce
que	KON	que
quand	KON	quand
on	PRO:cls	on
parle	VER:pres	parler
de	PRP	de
coaching	NOM	<unknown>
il	PRO:cls	il
faut	VER:pres	falloir
suivre	VER:infi	suivre
et	KON	et
orienter	VER:infi	orienter
c'	PRO:cls	ce
est	VER:pres	être
en	PRO:clo	en
fait	VER:pres	faire
c'	PRO:cls	ce
est	VER:pres	être
je	PRO:cls	je
vais	VER:pres	aller
essayer	VER:infi	essayer
de	PRP	de
donner	VER:infi	donner
une	DET:ind	un
définition	NOM	définition
de	PRP	de
d'	PRP	un
accompagnement	NOM	accompagnement
des	PRP:det	du
synonymes	NOM	synonyme
en	PRO:clo	en
fait	VER:pres	faire
hum	FNO	hum
hum	FNO	hum
donc	ADV	donc
euh	INT	euh
