pro	quelque+chose
conj	que
pro:subj	je
v:aux	avoir
v-PP	entendre
prep	à
det&FEM&SING	la
n	télévision
pro:subj&MASC	ils
v:aux	avoir
v-PP	dire
conj	que
det&PL	les
n	abeille
prep	dans
det:dem&MASC&SING	ce
n	moment
pro:subj&MASC	ils
v:exist&IMPF	être
prep	en+train+de
v&INF	mourir
PCT	.
conj	et
v:exist&IMPF	c'est
prep	à
n	cause
det&MASC&SING	du
det&MASC&SING	du
n	produit
prep	en
v:mdllex	faire
conj	que
det&PL	les
n	gens
v-IMPF	mettre
prep	dans
det&PL	les
prep	dans
det&PL	les
prep	dans
det&PL	les
n	culture
PCT	.
conj	et
pro:subj	je
v:mdl&COND	vouloir
v:mdllex&INF	savoir
co	euh
adv	que
?	est–ce
conj	que
pro:subj	tu
v	penser
prep	de
pro:dem	ça
conj	parce+que
prep	comme
pro&SING	toi
pro:subj	tu
v:exist	être
n	apiculteur
pro:subj	je
v:mdl&COND	vouloir
v&INF	voir
co	euh
conj	qu'
pro:subj&FEM	elle
v:exist&IMPF	être
det:poss&MASC&SING	ton
n	opinion
PCT	.
co	ben
pro:dem	ça
v:exist	c'est
prep:art	en
n	grand
v-PP	partir
adj	vrai
adv	certainement
PCT	.
v	dire
conj	que
?	j–
pro&SING	moi
pro:subj	je
pro:refl	me
pro:subj	je
adv:neg	ne
pro:refl	me
v:aux	être
adv:neg	pas
v-PP	renseigner
co	euh
PCT	.
adv:neg	plus
conj	que
pro:dem	ça
prep	sur
det&MASC&SING	le
n	problème
conj	mais
v	dire
conj	que
pro:subj	je
pro:obj&MASC&SING	le
v	voir
prep	avec
det&PL	les
n	abeille
conj	que
pro:subj	nous
pro:subj	nous
v:aux	avoir
PCT	.
co	euh
det:poss&MASC&SING	mon
n	père
v:aux	avoir
v	dire
pro:subj&MASC	il
v:aux&IMPF	avoir
adv	presque
adj:num	deux
n	cent
n	ruche
conj	et
pro:subj&MASC	il
v:aux	avoir
v-PP	prendre
det:poss&FEM&SING	sa
n	retrait
PCT	.
conj	mais
pro:subj&MASC	il
v:aux	avoir
n	pas
v:aux&PP	avoir
n	besoin
prep	de
v-INF	revendre
det:poss&PL	ses
n	ruche
prep	pour
v:poss&INF	avoir
det&MASC&SING	le
n	nombre
prep:art	de
n	abeille
co	euh
conj	qu'
pro:subj&MASC	il
v:aux&IMPF	avoir
PCT	.
adv	enfin
adv	maintenant
pro:subj&MASC	il
adv:neg	ne
v:poss	avoir
adv:neg	plus
det&MASC&SING	le
adj	droit
prep	de
v:poss&INF	avoir
conj	que
adj:num	trente
n	ruche
adv	donc
prep	pour
n	avoir
adv	moins
prep:art	de
n	ruche
pro:subj&MASC	il
v:aux	avoir
n	pas
v:aux&PP	avoir
n	besoin
prep	de
v-INF	vendre
det:poss&PL	ses
n	ruche
prep	à
det&FEM&SING	la
PCT	.
v:exist	il+y+a
v:poss&PP	avoir
det&PL	des
n	ruche
pro:rel	qui
v:aux	être
v&PP-FEM	mourir
conj	et
pro:subj&MASC	il
pro:refl	se
v:aux	être
adv	moins
v-PP	occuper
prep	de
v-INF	récupérer
prep:art	de
adj-MASC	nouveau
n	essaim
PCT	.
conj	et
det&FEM&SING	la
n	raison
prep	de
det&FEM&SING	la
n	mortalité
co	euh
co	ben
pro:subj	on
v	penser
conj	que
v:exist	c'est
pro:dem	ça
conj	que
det&PL	les
det&PL	les
n	abeille
v:exist	être
adv	moins
adj-FEM	vigoureux
PCT	.
co	euh
